product_id,user_id,user_name,review_id,rating,review_title,review_content,discounted_price,actual_price,discount_percentage,rating_count
B07JW9H4J1,AG3D6O4STAQKAY2UVGEUV46KN35Q,Manav,R3HXWT0LRP0NMF,4.2,Satisfied,Looks durable Charging is fine tooNo complains,399,1099,64,24269
B07JW9H4J1,AHMY5CWJMMK5BJRBBSNLYT3ONILA,Adarsh gupta,R2AJM3LFTLZHFO,4.2,Charging is really fast,Charging is really fast,399,1099,64,24269
B07JW9H4J1,AHCTC6ULH4XB6YHDY6PCH2R772LQ,Sundeep,R6AQJGUP6P86,4.2,Value for money,good product.,399,1099,64,24269
B07JW9H4J1,AGYHHIERNXKA6P5T7CZLXKVPT7IQ,S.Sayeed Ahmed,R1KD19VHEDV0OR,4.2,Product review,Till now satisfied with the quality.,399,1099,64,24269
B07JW9H4J1,AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,jaspreet singh,R3C02RMYQMK6FC,4.2,Good quality,This is a good product . The charging speed is slower than the original iPhone cable,399,1099,64,24269
B07JW9H4J1,AENGU523SXMOS7JPDTW52PNNVWGQ,Khaja moin,R39GQRVBUZBWGY,4.2,Good product,Good quality,399,1099,64,24269
B07JW9H4J1,AEQJHCVTNINBS4FKTBGQRQTGTE5Q,Anand,R2K9EDOE15QIRJ,4.2,Good Product,would recommend,399,1099,64,24269
B07JW9H4J1,AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,S.ARUMUGAM,R3OI7YT648TL8I,4.2,As of now seems good,As of now seems good,399,1099,64,24269
B098NS6PVG,AECPFYFQVRUWC3KGNLJIOREFP5LQ,ArdKn,RGIQEG07R9HS2,4,A Good Braided Cable for Your Type C Device,I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.,199,349,43,43994
B098NS6PVG,AGYYVPDD7YG7FYNBXNGXZJT525AQ,Nirbhay kumar,R1SMWZQ86XIN8U,4,Good quality product from ambrane,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,199,349,43,43994
B098NS6PVG,AFPHD2CRPDZMWMBL7WXRSVYWS5JA,Asp,RYGGS0M09S3KY,4,As,with extra length👍,199,349,43,43994
B098NS6PVG,AHWVEHR5DYLVFTO2KF3IZATFQSWQ,sonia,R1HDNOG6TO2CCA,4,its good,Product quality is good,199,349,43,43994
B096MSW6CT,AESFLDV2PT363T2AQLWQOWZ4N3OA,Himanshu,R3E7WBGK7ID0KV,3.9,Good Product,Good Product,199,1899,90,7928
B096MSW6CT,AEUVWXYP5LT7PZLLZENEO2NODPBQ,sai niharka,R25X4TBMPY91LX,3.9,Good for the price,Good for the price,199,1899,90,7928
B096MSW6CT,AHC7MPW55DOO6WNCOQVA2VHOD26A,saqib malik,R27OK7G99VK0TR,3.9,Good,Product,199,1899,90,7928
B096MSW6CT,AHKUUFNMBZIDLSSPA4FEHIO2EC7Q,Sanjay gupta,R1IMONDOWRNU5V,3.9,it's a really nice product,It's a really nice product,199,1899,90,7928
B08HDJ86NZ,AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,Omkar dhale,R3EEUZKKK9J36I,4.2,Good product,Good product,329,699,53,94363
B08HDJ86NZ,AH725ST5NW2Y4JZPKUNTIJCUK2BA,HEMALATHA,REDECAZ7AMPQC,4.2,Nice,Charges good,329,699,53,94363
B08HDJ86NZ,AGWIGDEMFIIUAOXYY2QATNBSUGHA,amar singh chouhan,R2DMKIBGFKBD6R,4.2,Very first time change,I bought this cable for Rs.339 worthy product for this price,329,699,53,94363
B08HDJ86NZ,AFSTSLQUV4EVEXWKBOLEFHL2H5YQ,Ravi Siddan,RC89B5IAJUTR5,4.2,Good,i tested it in various charger adapters 33w and 18w it supports fast charging as well.,329,699,53,94363
B08CF3B7N1,AE3Q6KSUK5P75D5HFYHCRAOLODSA,rahuls6099,R1BP4L2HH9TFUP,4.2,As good as original,Bought this instead of original apple,154,399,61,16905
B08CF3B7N1,AFUGIFH5ZAFXRDSZHM4QB2KPKFUQ,Swasat Borah,R16PVJEXKV6QZS,4.2,Decent,does the work for 150rs,154,399,61,16905
B08CF3B7N1,AFK4NJOLFSJGWLOJIUIAROJF6YVA,Ajay Wadke,R2UPDB81N66T4P,4.2,Good one for secondary use,not as fast as apple charger but its a good option if you want cheap and good product,154,399,61,16905
B08CF3B7N1,AFUOTYRFUXVPEBGIXVZZ7DR3CZUA,Pranali,R3KK4GT934ST3I,4.2,Best quality,bought it for iPad pro 10.5 and it's working flawlessly,154,399,61,16905
B08CF3B7N1,AFDLRSXKDZ6U3U3KD46SQLFGZQRA,RVK,RCFHMWUSBIJO,4.2,GOOD,build quality is ok,154,399,61,16905
B08CF3B7N1,AH5VLM66SIK7J3IRG4NY7XVOQ55A,Bhargav,RDO7DACXMAJ84,4.2,Amazing product at a mind blowing price!,its not like i am gonna hang my clothes on it and i want a very strong cable,154,399,61,16905
B08CF3B7N1,AE3MQNNHHLUHXURL5S7IAR7JTGNQ,Durai Vignesh,R3A6MEZL3LY66Z,4.2,Nice Quality,even a braided cable stop working after a year,154,399,61,16905
B08CF3B7N1,AFSEOFZY67MYC7UAJU264Z5NFTLA,Amazon Customer,R1ESIEKPGAYA29,4.2,Good product,i have used both Anker and Apple store strong braided cable they all stop working after a year so please don't buy high end cables just for that instead choose a this one and even if it's stops working withing a year you only loose 150rs compares to 2000rs.UPDATE------------------------------------pin has stopped charging from one side,154,399,61,16905
B08Y1TFSP6,AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,Jayesh,R7S8ANNSDPR40,3.9,It's pretty good,It's a good product.,149,1000,85,24871
B08Y1TFSP6,AHBAT6VLOXWGYDL57KHCNCLPXAKA,Soopy,RFF7U7MPQFUGR,3.9,very good and useful usb cable,Very good item strong and useful USB cableValue for moneyThanks to amazon and producer,149,1000,85,24871
B08Y1TFSP6,AF7NDY2H6JVYTSQOZP76GCATQ34Q,amazon customer,R1MV1NKC23DWPI,3.9,Good USB cable. My experience was very good it is long lasting,Good USB cable. My experience was very good it is long lasting,149,1000,85,24871
B08Y1TFSP6,AEP4MK3EKOBDKTGPJTRN5RBDIODA,Chitra,R1XN72FU6Q37IH,3.9,Sturdy but does not support 33w charging,Sturdy but does not support 33w charging,149,1000,85,24871
B08WRWPM22,AG7C6DAADCTRQJG2BRS3RIKDT52Q,Vivek kumar,R8E73K2KWJRDS,4.1,Long durable.,Build quality is good and it is comes with 2 year warranty.,176.63,499,65,15188
B08WRWPM22,AFU7BOMPVJ7Q3TTA4G67RASTGYIQ,Amazon Customer,RSD0JTIIWQQL8,4.1,good,Good Product,176.63,499,65,15188
B08WRWPM22,AER5ZGIXXVYG3AWZTRZT7M2BYCEA,SARTHAK,R64CRSTE9SLW1,4.1,Does not charge Lenovo m8 tab,Bought it for charging my mobile & tab but it doesn't work for Lenovo m8 tab,176.63,499,65,15188
B08WRWPM22,AHE76XQSOLGOP5ZEKTIW6KUPDWBQ,Chiranjeevi,R2FRTNIIUFJE1F,4.1,Best charging cable,Guys this cable is is best compare of everyone over heat protection,176.63,499,65,15188
B08WRWPM22,AGXTMB2XHZBEWZ2UIX7ODZ4XTU6Q,V V GIRI KUMAR,RWGNX3W7UOJ7W,4.1,good,quickly charging,176.63,499,65,15188
B08WRWPM22,AHNM2XVU745EDPNGUOAG74PTSNRA,Rajnandini,R32TYHHODHTF5D,4.1,Boat,but chance to shock circuit,176.63,499,65,15188
B08DDRGWTJ,AHW6E5LQ2BDYOIVLAJGDH45J5V5Q,Pavan A H,R2X090D1YHACKR,4.3,Worth for money - suitable for Android auto,Worth for money - suitable for Android auto... my purpose served in car....got it for Rs.150,229,299,23,30411
B08DDRGWTJ,AF74RSGCHPZITVFSZN76K6GKPICA,Jayesh bagad,R32ZCIH9AFNJ60,4.3,Good Product,Everything is Okay. But packaging is not good feeling like seller gave is used cable.,229,299,23,30411
B08DDRGWTJ,AHDD7ZNB47QA2JLYU53HD4ML3VNQ,Shridhar,R3N57EVVG0EHAF,4.3,Length,Good product,229,299,23,30411
